,topleft,topright,bottomleft,bottomright,radius
3106,"{'x': -80.82922306249998, 'y': 35.232835359375}","{'x': -80.83452603125, 'y': 35.232835359375}","{'x': -80.82922306249998, 'y': 35.2269001875}","{'x': -80.83452603125, 'y': 35.2269001875}",408.51539791285086
3107,"{'x': -80.83452703124999, 'y': 35.232835359375}","{'x': -80.839829, 'y': 35.232835359375}","{'x': -80.83452703124999, 'y': 35.2269001875}","{'x': -80.839829, 'y': 35.2269001875}",408.4886274088289
3108,"{'x': -80.81861512499998, 'y': 35.23877253125001}","{'x': -80.82391859374998, 'y': 35.23877253125001}","{'x': -80.81861512499998, 'y': 35.232836359375}","{'x': -80.82391859374998, 'y': 35.232836359375}",408.56330290066217
3109,"{'x': -80.82391959374998, 'y': 35.23877253125001}","{'x': -80.82922206249998, 'y': 35.23877253125001}","{'x': -80.82391959374998, 'y': 35.232836359375}","{'x': -80.82922206249998, 'y': 35.232836359375}",408.5365369291713
3110,"{'x': -80.81861512499998, 'y': 35.232835359375}","{'x': -80.82391859374998, 'y': 35.232835359375}","{'x': -80.81861512499998, 'y': 35.2269001875}","{'x': -80.82391859374998, 'y': 35.2269001875}",408.5287844001532
3111,"{'x': -80.82391959374998, 'y': 35.232835359375}","{'x': -80.82922206249998, 'y': 35.232835359375}","{'x': -80.82391959374998, 'y': 35.2269001875}","{'x': -80.82922206249998, 'y': 35.2269001875}",408.5020122482884
3112,"{'x': -80.82922306249998, 'y': 35.250646875}","{'x': -80.83452603125, 'y': 35.250646875}","{'x': -80.82922306249998, 'y': 35.244710203125}","{'x': -80.83452603125, 'y': 35.244710203125}",408.5515959481016
3113,"{'x': -80.83452703124999, 'y': 35.250646875}","{'x': -80.839829, 'y': 35.250646875}","{'x': -80.83452703124999, 'y': 35.244710203125}","{'x': -80.839829, 'y': 35.244710203125}",408.5248395714041
3114,"{'x': -80.82922306249998, 'y': 35.244709203125005}","{'x': -80.83452603125, 'y': 35.244709203125005}","{'x': -80.82922306249998, 'y': 35.238773531250004}","{'x': -80.83452603125, 'y': 35.238773531250004}",408.5170731189094
3115,"{'x': -80.83452703124999, 'y': 35.244709203125005}","{'x': -80.839829, 'y': 35.244709203125005}","{'x': -80.83452703124999, 'y': 35.238773531250004}","{'x': -80.839829, 'y': 35.238773531250004}",408.4903105616518
3116,"{'x': -80.81861512499998, 'y': 35.250646875}","{'x': -80.82391859374998, 'y': 35.250646875}","{'x': -80.81861512499998, 'y': 35.244710203125}","{'x': -80.82391859374998, 'y': 35.244710203125}",408.5649753714951
3117,"{'x': -80.82391959374998, 'y': 35.250646875}","{'x': -80.82922206249998, 'y': 35.250646875}","{'x': -80.82391959374998, 'y': 35.244710203125}","{'x': -80.82922206249998, 'y': 35.244710203125}",408.5382173472838
3118,"{'x': -80.81861512499998, 'y': 35.244709203125005}","{'x': -80.82391859374998, 'y': 35.244709203125005}","{'x': -80.81861512499998, 'y': 35.238773531250004}","{'x': -80.82391859374998, 'y': 35.238773531250004}",408.5304556326609
3119,"{'x': -80.82391959374998, 'y': 35.244709203125005}","{'x': -80.82922206249998, 'y': 35.244709203125005}","{'x': -80.82391959374998, 'y': 35.238773531250004}","{'x': -80.82922206249998, 'y': 35.238773531250004}",408.5036914277856
3120,"{'x': -80.80800768749998, 'y': 35.23877253125001}","{'x': -80.81331090624998, 'y': 35.23877253125001}","{'x': -80.80800768749998, 'y': 35.232836359375}","{'x': -80.81331090624998, 'y': 35.232836359375}",408.55661109843066
3121,"{'x': -80.81331190624998, 'y': 35.23877253125001}","{'x': -80.81861412499998, 'y': 35.23877253125001}","{'x': -80.81331190624998, 'y': 35.232836359375}","{'x': -80.81861412499998, 'y': 35.232836359375}",408.5298459519303
3122,"{'x': -80.80800768749998, 'y': 35.232835359375}","{'x': -80.81331090624998, 'y': 35.232835359375}","{'x': -80.80800768749998, 'y': 35.2269001875}","{'x': -80.81331090624998, 'y': 35.2269001875}",408.5220910528087
3123,"{'x': -80.81331190624998, 'y': 35.232835359375}","{'x': -80.81861412499998, 'y': 35.232835359375}","{'x': -80.81331190624998, 'y': 35.2269001875}","{'x': -80.81861412499998, 'y': 35.2269001875}",408.49531972598635
3124,"{'x': -80.79739924999998, 'y': 35.23877253125001}","{'x': -80.80270296874998, 'y': 35.23877253125001}","{'x': -80.79739924999998, 'y': 35.232836359375}","{'x': -80.80270296874998, 'y': 35.232836359375}",408.5699949072141
3125,"{'x': -80.80270396874998, 'y': 35.23877253125001}","{'x': -80.80800668749998, 'y': 35.23877253125001}","{'x': -80.80270396874998, 'y': 35.232836359375}","{'x': -80.80800668749998, 'y': 35.232836359375}",408.54322811381627
3126,"{'x': -80.79739924999998, 'y': 35.232835359375}","{'x': -80.80270296874998, 'y': 35.232835359375}","{'x': -80.79739924999998, 'y': 35.2269001875}","{'x': -80.80270296874998, 'y': 35.2269001875}",408.5354779518308
3127,"{'x': -80.80270396874998, 'y': 35.232835359375}","{'x': -80.80800668749998, 'y': 35.232835359375}","{'x': -80.80270396874998, 'y': 35.2269001875}","{'x': -80.80800668749998, 'y': 35.2269001875}",408.50870497800736
3128,"{'x': -80.80800768749998, 'y': 35.250646875}","{'x': -80.81331090624998, 'y': 35.250646875}","{'x': -80.80800768749998, 'y': 35.244710203125}","{'x': -80.81331090624998, 'y': 35.244710203125}",408.5582855561259
3129,"{'x': -80.81331190624998, 'y': 35.250646875}","{'x': -80.81861412499998, 'y': 35.250646875}","{'x': -80.81331190624998, 'y': 35.244710203125}","{'x': -80.81861412499998, 'y': 35.244710203125}",408.53152835679197
3130,"{'x': -80.80800768749998, 'y': 35.244709203125005}","{'x': -80.81331090624998, 'y': 35.244709203125005}","{'x': -80.80800768749998, 'y': 35.238773531250004}","{'x': -80.81331090624998, 'y': 35.238773531250004}",408.52376427210606
3131,"{'x': -80.81331190624998, 'y': 35.244709203125005}","{'x': -80.81861412499998, 'y': 35.244709203125005}","{'x': -80.81331190624998, 'y': 35.238773531250004}","{'x': -80.81861412499998, 'y': 35.238773531250004}",408.4970008921604
3132,"{'x': -80.79739924999998, 'y': 35.250646875}","{'x': -80.80270296874998, 'y': 35.250646875}","{'x': -80.79739924999998, 'y': 35.244710203125}","{'x': -80.80270296874998, 'y': 35.244710203125}",408.57166539115696
3133,"{'x': -80.80270396874998, 'y': 35.250646875}","{'x': -80.80800668749998, 'y': 35.250646875}","{'x': -80.80270396874998, 'y': 35.244710203125}","{'x': -80.80800668749998, 'y': 35.244710203125}",408.54490654515087
3134,"{'x': -80.79739924999998, 'y': 35.244709203125005}","{'x': -80.80270296874998, 'y': 35.244709203125005}","{'x': -80.79739924999998, 'y': 35.238773531250004}","{'x': -80.80270296874998, 'y': 35.238773531250004}",408.5371471975211
3135,"{'x': -80.80270396874998, 'y': 35.244709203125005}","{'x': -80.80800668749998, 'y': 35.244709203125005}","{'x': -80.80270396874998, 'y': 35.238773531250004}","{'x': -80.80800668749998, 'y': 35.238773531250004}",408.5103821707993
3136,"{'x': -80.78679206249998, 'y': 35.21502534375}","{'x': -80.79209515624999, 'y': 35.21502534375}","{'x': -80.78679206249998, 'y': 35.209089421875}","{'x': -80.79209515624999, 'y': 35.209089421875}",408.58358831797204
3137,"{'x': -80.79209615624998, 'y': 35.21502534375}","{'x': -80.79739824999999, 'y': 35.21502534375}","{'x': -80.79209615624998, 'y': 35.209089421875}","{'x': -80.79739824999999, 'y': 35.209089421875}",408.556809899671
3138,"{'x': -80.78679206249998, 'y': 35.209088421875}","{'x': -80.79209515624999, 'y': 35.209088421875}","{'x': -80.78679206249998, 'y': 35.2031535}","{'x': -80.79209515624999, 'y': 35.2031535}",408.5490684587886
3139,"{'x': -80.79209615624998, 'y': 35.209088421875}","{'x': -80.79739824999999, 'y': 35.209088421875}","{'x': -80.79209615624998, 'y': 35.2031535}","{'x': -80.79739824999999, 'y': 35.2031535}",408.5222838608752
3140,"{'x': -80.77618387499999, 'y': 35.21502534375}","{'x': -80.78148746874999, 'y': 35.21502534375}","{'x': -80.77618387499999, 'y': 35.209089421875}","{'x': -80.78148746874999, 'y': 35.209089421875}",408.5969787626496
3141,"{'x': -80.78148846874998, 'y': 35.21502534375}","{'x': -80.78679106249999, 'y': 35.21502534375}","{'x': -80.78148846874998, 'y': 35.209089421875}","{'x': -80.78679106249999, 'y': 35.209089421875}",408.5701986969522
3142,"{'x': -80.77618387499999, 'y': 35.209088421875}","{'x': -80.78148746874999, 'y': 35.209088421875}","{'x': -80.77618387499999, 'y': 35.2031535}","{'x': -80.78148746874999, 'y': 35.2031535}",408.5624619933501
3143,"{'x': -80.78148846874998, 'y': 35.209088421875}","{'x': -80.78679106249999, 'y': 35.209088421875}","{'x': -80.78148846874998, 'y': 35.2031535}","{'x': -80.78679106249999, 'y': 35.2031535}",408.53567574793675
3144,"{'x': -80.78679206249998, 'y': 35.2268991875}","{'x': -80.79209515624999, 'y': 35.2268991875}","{'x': -80.78679206249998, 'y': 35.220962765625}","{'x': -80.79209515624999, 'y': 35.220962765625}",408.5852696866962
3145,"{'x': -80.79209615624998, 'y': 35.2268991875}","{'x': -80.79739824999999, 'y': 35.2268991875}","{'x': -80.79209615624998, 'y': 35.220962765625}","{'x': -80.79739824999999, 'y': 35.220962765625}",408.55849921272534
3146,"{'x': -80.78679206249998, 'y': 35.220961765625006}","{'x': -80.79209515624999, 'y': 35.220961765625006}","{'x': -80.78679206249998, 'y': 35.21502634375}","{'x': -80.79209515624999, 'y': 35.21502634375}",408.55074859093537
3147,"{'x': -80.79209615624998, 'y': 35.220961765625006}","{'x': -80.79739824999999, 'y': 35.220961765625006}","{'x': -80.79209615624998, 'y': 35.21502634375}","{'x': -80.79739824999999, 'y': 35.21502634375}",408.5239719370607
3148,"{'x': -80.77618387499999, 'y': 35.2268991875}","{'x': -80.78148746874999, 'y': 35.2268991875}","{'x': -80.77618387499999, 'y': 35.220962765625}","{'x': -80.78148746874999, 'y': 35.220962765625}",408.59865615904016
3149,"{'x': -80.78148846874998, 'y': 35.2268991875}","{'x': -80.78679106249999, 'y': 35.2268991875}","{'x': -80.78148846874998, 'y': 35.220962765625}","{'x': -80.78679106249999, 'y': 35.220962765625}",408.5718840378976
3150,"{'x': -80.77618387499999, 'y': 35.220961765625006}","{'x': -80.78148746874999, 'y': 35.220961765625006}","{'x': -80.77618387499999, 'y': 35.21502634375}","{'x': -80.78148746874999, 'y': 35.21502634375}",408.5641381533089
3151,"{'x': -80.78148846874998, 'y': 35.220961765625006}","{'x': -80.78679106249999, 'y': 35.220961765625006}","{'x': -80.78148846874998, 'y': 35.21502634375}","{'x': -80.78679106249999, 'y': 35.21502634375}",408.53735985215894
3152,"{'x': -80.76557618749999, 'y': 35.21502534375}","{'x': -80.77087953124999, 'y': 35.21502534375}","{'x': -80.76557618749999, 'y': 35.209089421875}","{'x': -80.77087953124999, 'y': 35.209089421875}",408.5902834373586
3153,"{'x': -80.77088053124999, 'y': 35.21502534375}","{'x': -80.77618287499999, 'y': 35.21502534375}","{'x': -80.77088053124999, 'y': 35.209089421875}","{'x': -80.77618287499999, 'y': 35.209089421875}",408.5635041953392
3154,"{'x': -80.76557618749999, 'y': 35.209088421875}","{'x': -80.77087953124999, 'y': 35.209088421875}","{'x': -80.76557618749999, 'y': 35.2031535}","{'x': -80.77087953124999, 'y': 35.2031535}",408.55576512311075
3155,"{'x': -80.77088053124999, 'y': 35.209088421875}","{'x': -80.77618287499999, 'y': 35.209088421875}","{'x': -80.77088053124999, 'y': 35.2031535}","{'x': -80.77618287499999, 'y': 35.2031535}",408.52897970142703
3156,"{'x': -80.75496749999999, 'y': 35.21502534375}","{'x': -80.76027134374999, 'y': 35.21502534375}","{'x': -80.75496749999999, 'y': 35.209089421875}","{'x': -80.76027134374999, 'y': 35.209089421875}",408.6036742938349
3157,"{'x': -80.76027234374999, 'y': 35.21502534375}","{'x': -80.76557518749999, 'y': 35.21502534375}","{'x': -80.76027234374999, 'y': 35.209089421875}","{'x': -80.76557518749999, 'y': 35.209089421875}",408.5768934044999
3158,"{'x': -80.75496749999999, 'y': 35.209088421875}","{'x': -80.76027134374999, 'y': 35.209088421875}","{'x': -80.75496749999999, 'y': 35.2031535}","{'x': -80.76027134374999, 'y': 35.2031535}",408.5691590694966
3159,"{'x': -80.76027234374999, 'y': 35.209088421875}","{'x': -80.76557518749999, 'y': 35.209088421875}","{'x': -80.76027234374999, 'y': 35.2031535}","{'x': -80.76557518749999, 'y': 35.2031535}",408.5423720003939
3160,"{'x': -80.76557618749999, 'y': 35.2268991875}","{'x': -80.77087953124999, 'y': 35.2268991875}","{'x': -80.76557618749999, 'y': 35.220962765625}","{'x': -80.77087953124999, 'y': 35.220962765625}",408.59196281993013
3161,"{'x': -80.77088053124999, 'y': 35.2268991875}","{'x': -80.77618287499999, 'y': 35.2268991875}","{'x': -80.77088053124999, 'y': 35.220962765625}","{'x': -80.77618287499999, 'y': 35.220962765625}",408.56519152235313
3162,"{'x': -80.76557618749999, 'y': 35.220961765625006}","{'x': -80.77087953124999, 'y': 35.220961765625006}","{'x': -80.76557618749999, 'y': 35.21502634375}","{'x': -80.77087953124999, 'y': 35.21502634375}",408.55744326917755
3163,"{'x': -80.77088053124999, 'y': 35.220961765625006}","{'x': -80.77618287499999, 'y': 35.220961765625006}","{'x': -80.77088053124999, 'y': 35.21502634375}","{'x': -80.77618287499999, 'y': 35.21502634375}",408.530665791645
3164,"{'x': -80.75496749999999, 'y': 35.2268991875}","{'x': -80.76027134374999, 'y': 35.2268991875}","{'x': -80.75496749999999, 'y': 35.220962765625}","{'x': -80.76027134374999, 'y': 35.220962765625}",408.60534970401636
3165,"{'x': -80.76027234374999, 'y': 35.2268991875}","{'x': -80.76557518749999, 'y': 35.2268991875}","{'x': -80.76027234374999, 'y': 35.220962765625}","{'x': -80.76557518749999, 'y': 35.220962765625}",408.5785767593487
3166,"{'x': -80.75496749999999, 'y': 35.220961765625006}","{'x': -80.76027134374999, 'y': 35.220961765625006}","{'x': -80.75496749999999, 'y': 35.21502634375}","{'x': -80.76027134374999, 'y': 35.21502634375}",408.57083324331927
3167,"{'x': -80.76027234374999, 'y': 35.220961765625006}","{'x': -80.76557518749999, 'y': 35.220961765625006}","{'x': -80.76027234374999, 'y': 35.21502634375}","{'x': -80.76557518749999, 'y': 35.21502634375}",408.54405411859244
3168,"{'x': -80.78679206249998, 'y': 35.23877253125001}","{'x': -80.79209515624999, 'y': 35.23877253125001}","{'x': -80.78679206249998, 'y': 35.232836359375}","{'x': -80.79209515624999, 'y': 35.232836359375}",408.55326527526955
3169,"{'x': -80.79209615624998, 'y': 35.23877253125001}","{'x': -80.79739824999999, 'y': 35.23877253125001}","{'x': -80.79209615624998, 'y': 35.232836359375}","{'x': -80.79739824999999, 'y': 35.232836359375}",408.52650053975805
3170,"{'x': -80.78679206249998, 'y': 35.232835359375}","{'x': -80.79209515624999, 'y': 35.232835359375}","{'x': -80.78679206249998, 'y': 35.2269001875}","{'x': -80.79209515624999, 'y': 35.2269001875}",408.51874445709603
3171,"{'x': -80.79209615624998, 'y': 35.232835359375}","{'x': -80.79739824999999, 'y': 35.232835359375}","{'x': -80.79209615624998, 'y': 35.2269001875}","{'x': -80.79739824999999, 'y': 35.2269001875}",408.4919735412884
3172,"{'x': -80.77618387499999, 'y': 35.23877253125001}","{'x': -80.78148746874999, 'y': 35.23877253125001}","{'x': -80.77618387499999, 'y': 35.232836359375}","{'x': -80.78148746874999, 'y': 35.232836359375}",408.5666488782086
3173,"{'x': -80.78148846874998, 'y': 35.23877253125001}","{'x': -80.78679106249999, 'y': 35.23877253125001}","{'x': -80.78148846874998, 'y': 35.232836359375}","{'x': -80.78679106249999, 'y': 35.232836359375}",408.5398824957591
3174,"{'x': -80.77618387499999, 'y': 35.232835359375}","{'x': -80.78148746874999, 'y': 35.232835359375}","{'x': -80.77618387499999, 'y': 35.2269001875}","{'x': -80.78148746874999, 'y': 35.2269001875}",408.53213115026074
3175,"{'x': -80.78148846874998, 'y': 35.232835359375}","{'x': -80.78679106249999, 'y': 35.232835359375}","{'x': -80.78148846874998, 'y': 35.2269001875}","{'x': -80.78679106249999, 'y': 35.2269001875}",408.5053585874116
3176,"{'x': -80.78679206249998, 'y': 35.250646875}","{'x': -80.79209515624999, 'y': 35.250646875}","{'x': -80.78679206249998, 'y': 35.244710203125}","{'x': -80.79209515624999, 'y': 35.244710203125}",408.55494072638504
3177,"{'x': -80.79209615624998, 'y': 35.250646875}","{'x': -80.79739824999999, 'y': 35.250646875}","{'x': -80.79209615624998, 'y': 35.244710203125}","{'x': -80.79739824999999, 'y': 35.244710203125}",408.5281839379841
3178,"{'x': -80.78679206249998, 'y': 35.244709203125005}","{'x': -80.79209515624999, 'y': 35.244709203125005}","{'x': -80.78679206249998, 'y': 35.238773531250004}","{'x': -80.79209515624999, 'y': 35.238773531250004}",408.5204186697774
3179,"{'x': -80.79209615624998, 'y': 35.244709203125005}","{'x': -80.79739824999999, 'y': 35.244709203125005}","{'x': -80.79209615624998, 'y': 35.238773531250004}","{'x': -80.79739824999999, 'y': 35.238773531250004}",408.49365570079044
3180,"{'x': -80.77618387499999, 'y': 35.250646875}","{'x': -80.78148746874999, 'y': 35.250646875}","{'x': -80.77618387499999, 'y': 35.244710203125}","{'x': -80.78148746874999, 'y': 35.244710203125}",408.5683203556
3181,"{'x': -80.78148846874998, 'y': 35.250646875}","{'x': -80.78679106249999, 'y': 35.250646875}","{'x': -80.78148846874998, 'y': 35.244710203125}","{'x': -80.78679106249999, 'y': 35.244710203125}",408.5415619204862
3182,"{'x': -80.77618387499999, 'y': 35.244709203125005}","{'x': -80.78148746874999, 'y': 35.244709203125005}","{'x': -80.77618387499999, 'y': 35.238773531250004}","{'x': -80.78148746874999, 'y': 35.238773531250004}",408.5338013893633
3183,"{'x': -80.78148846874998, 'y': 35.244709203125005}","{'x': -80.78679106249999, 'y': 35.244709203125005}","{'x': -80.78148846874998, 'y': 35.238773531250004}","{'x': -80.78679106249999, 'y': 35.238773531250004}",408.5070367735597
3184,"{'x': -80.76557618749999, 'y': 35.23877253125001}","{'x': -80.77087953124999, 'y': 35.23877253125001}","{'x': -80.76557618749999, 'y': 35.232836359375}","{'x': -80.77087953124999, 'y': 35.232836359375}",408.5599569738156
3185,"{'x': -80.77088053124999, 'y': 35.23877253125001}","{'x': -80.77618287499999, 'y': 35.23877253125001}","{'x': -80.77088053124999, 'y': 35.232836359375}","{'x': -80.77618287499999, 'y': 35.232836359375}",408.5331914148148
3186,"{'x': -80.76557618749999, 'y': 35.232835359375}","{'x': -80.77087953124999, 'y': 35.232835359375}","{'x': -80.76557618749999, 'y': 35.2269001875}","{'x': -80.77087953124999, 'y': 35.2269001875}",408.52543770074845
3187,"{'x': -80.77088053124999, 'y': 35.232835359375}","{'x': -80.77618287499999, 'y': 35.232835359375}","{'x': -80.77088053124999, 'y': 35.2269001875}","{'x': -80.77618287499999, 'y': 35.2269001875}",408.49866596139975
3188,"{'x': -80.75496749999999, 'y': 35.23877253125001}","{'x': -80.76027134374999, 'y': 35.23877253125001}","{'x': -80.75496749999999, 'y': 35.232836359375}","{'x': -80.76027134374999, 'y': 35.232836359375}",408.57334098843836
3189,"{'x': -80.76027234374999, 'y': 35.23877253125001}","{'x': -80.76557518749999, 'y': 35.23877253125001}","{'x': -80.76027234374999, 'y': 35.232836359375}","{'x': -80.76557518749999, 'y': 35.232836359375}",408.5465737825807
3190,"{'x': -80.75496749999999, 'y': 35.232835359375}","{'x': -80.76027134374999, 'y': 35.232835359375}","{'x': -80.75496749999999, 'y': 35.2269001875}","{'x': -80.76027134374999, 'y': 35.2269001875}",408.538824805623
3191,"{'x': -80.76027234374999, 'y': 35.232835359375}","{'x': -80.76557518749999, 'y': 35.232835359375}","{'x': -80.76027234374999, 'y': 35.2269001875}","{'x': -80.76557518749999, 'y': 35.2269001875}",408.51205141931365
3192,"{'x': -80.76557618749999, 'y': 35.250646875}","{'x': -80.77087953124999, 'y': 35.250646875}","{'x': -80.76557618749999, 'y': 35.244710203125}","{'x': -80.77087953124999, 'y': 35.244710203125}",408.5616304380831
3193,"{'x': -80.77088053124999, 'y': 35.250646875}","{'x': -80.77618287499999, 'y': 35.250646875}","{'x': -80.77088053124999, 'y': 35.244710203125}","{'x': -80.77618287499999, 'y': 35.244710203125}",408.5348728263055
3194,"{'x': -80.76557618749999, 'y': 35.244709203125005}","{'x': -80.77087953124999, 'y': 35.244709203125005}","{'x': -80.76557618749999, 'y': 35.238773531250004}","{'x': -80.77087953124999, 'y': 35.238773531250004}",408.52710992665453
3195,"{'x': -80.77088053124999, 'y': 35.244709203125005}","{'x': -80.77618287499999, 'y': 35.244709203125005}","{'x': -80.77088053124999, 'y': 35.238773531250004}","{'x': -80.77618287499999, 'y': 35.238773531250004}",408.50034613423895
3196,"{'x': -80.75496749999999, 'y': 35.250646875}","{'x': -80.76027134374999, 'y': 35.250646875}","{'x': -80.75496749999999, 'y': 35.244710203125}","{'x': -80.76027134374999, 'y': 35.244710203125}",408.5750104789255
3197,"{'x': -80.76027234374999, 'y': 35.250646875}","{'x': -80.76557518749999, 'y': 35.250646875}","{'x': -80.76027234374999, 'y': 35.244710203125}","{'x': -80.76557518749999, 'y': 35.244710203125}",408.54825122051614
3198,"{'x': -80.75496749999999, 'y': 35.244709203125005}","{'x': -80.76027134374999, 'y': 35.244709203125005}","{'x': -80.75496749999999, 'y': 35.238773531250004}","{'x': -80.76027134374999, 'y': 35.238773531250004}",408.5404930578938
3199,"{'x': -80.76027234374999, 'y': 35.244709203125005}","{'x': -80.76557518749999, 'y': 35.244709203125005}","{'x': -80.76027234374999, 'y': 35.238773531250004}","{'x': -80.76557518749999, 'y': 35.238773531250004}",408.5137276187425
3200,"{'x': -80.82922306249998, 'y': 35.26251996875}","{'x': -80.83452603125, 'y': 35.26251996875}","{'x': -80.82922306249998, 'y': 35.256583921875}","{'x': -80.83452603125, 'y': 35.256583921875}",408.502739454383
3201,"{'x': -80.83452703124999, 'y': 35.26251996875}","{'x': -80.839829, 'y': 35.26251996875}","{'x': -80.83452703124999, 'y': 35.256583921875}","{'x': -80.839829, 'y': 35.256583921875}",408.47598771611257
3202,"{'x': -80.82922306249998, 'y': 35.256582921875}","{'x': -80.83452603125, 'y': 35.256582921875}","{'x': -80.82922306249998, 'y': 35.250647875}","{'x': -80.83452603125, 'y': 35.250647875}",408.4682176553274
3203,"{'x': -80.83452703124999, 'y': 35.256582921875}","{'x': -80.839829, 'y': 35.256582921875}","{'x': -80.83452703124999, 'y': 35.250647875}","{'x': -80.839829, 'y': 35.250647875}",408.44145973605475
3204,"{'x': -80.81861512499998, 'y': 35.26251996875}","{'x': -80.82391859374998, 'y': 35.26251996875}","{'x': -80.81861512499998, 'y': 35.256583921875}","{'x': -80.82391859374998, 'y': 35.256583921875}",408.51611655838406
3205,"{'x': -80.82391959374998, 'y': 35.26251996875}","{'x': -80.82922206249998, 'y': 35.26251996875}","{'x': -80.82391959374998, 'y': 35.256583921875}","{'x': -80.82922206249998, 'y': 35.256583921875}",408.4893631728385
3206,"{'x': -80.81861512499998, 'y': 35.256582921875}","{'x': -80.82391859374998, 'y': 35.256582921875}","{'x': -80.81861512499998, 'y': 35.250647875}","{'x': -80.82391859374998, 'y': 35.250647875}",408.48159784990753
3207,"{'x': -80.82391959374998, 'y': 35.256582921875}","{'x': -80.82922206249998, 'y': 35.256582921875}","{'x': -80.82391959374998, 'y': 35.250647875}","{'x': -80.82922206249998, 'y': 35.250647875}",408.45483828325564
3208,"{'x': -80.82922306249998, 'y': 35.2743940625}","{'x': -80.83452603125, 'y': 35.2743940625}","{'x': -80.82922306249998, 'y': 35.268457515625}","{'x': -80.83452603125, 'y': 35.268457515625}",408.5044099590865
3209,"{'x': -80.83452703124999, 'y': 35.2743940625}","{'x': -80.839829, 'y': 35.2743940625}","{'x': -80.83452703124999, 'y': 35.268457515625}","{'x': -80.839829, 'y': 35.268457515625}",408.47766617048234
3210,"{'x': -80.82922306249998, 'y': 35.268456515625004}","{'x': -80.83452603125, 'y': 35.268456515625004}","{'x': -80.82922306249998, 'y': 35.262520968749996}","{'x': -80.83452603125, 'y': 35.262520968749996}",408.4698869175381
3211,"{'x': -80.83452703124999, 'y': 35.268456515625004}","{'x': -80.839829, 'y': 35.268456515625004}","{'x': -80.83452703124999, 'y': 35.262520968749996}","{'x': -80.839829, 'y': 35.262520968749996}",408.4431369476428
3212,"{'x': -80.81861512499998, 'y': 35.2743940625}","{'x': -80.82391859374998, 'y': 35.2743940625}","{'x': -80.81861512499998, 'y': 35.268457515625}","{'x': -80.82391859374998, 'y': 35.268457515625}",408.5177830880855
3213,"{'x': -80.82391959374998, 'y': 35.2743940625}","{'x': -80.82922206249998, 'y': 35.2743940625}","{'x': -80.82391959374998, 'y': 35.268457515625}","{'x': -80.82922206249998, 'y': 35.268457515625}",408.4910376524317
3214,"{'x': -80.81861512499998, 'y': 35.268456515625004}","{'x': -80.82391859374998, 'y': 35.268456515625004}","{'x': -80.81861512499998, 'y': 35.262520968749996}","{'x': -80.82391859374998, 'y': 35.262520968749996}",408.4832631372605
3215,"{'x': -80.82391959374998, 'y': 35.268456515625004}","{'x': -80.82922206249998, 'y': 35.268456515625004}","{'x': -80.82391959374998, 'y': 35.262520968749996}","{'x': -80.82922206249998, 'y': 35.262520968749996}",408.45651152021156
3216,"{'x': -80.80800768749998, 'y': 35.26251996875}","{'x': -80.81331090624998, 'y': 35.26251996875}","{'x': -80.80800768749998, 'y': 35.256583921875}","{'x': -80.81331090624998, 'y': 35.256583921875}",408.50942790272603
3217,"{'x': -80.81331190624998, 'y': 35.26251996875}","{'x': -80.81861412499998, 'y': 35.26251996875}","{'x': -80.81331190624998, 'y': 35.256583921875}","{'x': -80.81861412499998, 'y': 35.256583921875}",408.4826753419385
3218,"{'x': -80.80800768749998, 'y': 35.256582921875}","{'x': -80.81331090624998, 'y': 35.256582921875}","{'x': -80.80800768749998, 'y': 35.250647875}","{'x': -80.81331090624998, 'y': 35.250647875}",408.4749076489534
3219,"{'x': -80.81331190624998, 'y': 35.256582921875}","{'x': -80.81861412499998, 'y': 35.256582921875}","{'x': -80.81331190624998, 'y': 35.250647875}","{'x': -80.81861412499998, 'y': 35.250647875}",408.4481489071116
3220,"{'x': -80.79739924999998, 'y': 35.26251996875}","{'x': -80.80270296874998, 'y': 35.26251996875}","{'x': -80.79739924999998, 'y': 35.256583921875}","{'x': -80.80270296874998, 'y': 35.256583921875}",408.52280541830527
3221,"{'x': -80.80270396874998, 'y': 35.26251996875}","{'x': -80.80800668749998, 'y': 35.26251996875}","{'x': -80.80270396874998, 'y': 35.256583921875}","{'x': -80.80800668749998, 'y': 35.256583921875}",408.4960512110838
3222,"{'x': -80.79739924999998, 'y': 35.256582921875}","{'x': -80.80270296874998, 'y': 35.256582921875}","{'x': -80.79739924999998, 'y': 35.250647875}","{'x': -80.80270296874998, 'y': 35.250647875}",408.4882882551376
3223,"{'x': -80.80270396874998, 'y': 35.256582921875}","{'x': -80.80800668749998, 'y': 35.256582921875}","{'x': -80.80270396874998, 'y': 35.250647875}","{'x': -80.80800668749998, 'y': 35.250647875}",408.46152786675816
3224,"{'x': -80.80800768749998, 'y': 35.2743940625}","{'x': -80.81331090624998, 'y': 35.2743940625}","{'x': -80.80800768749998, 'y': 35.268457515625}","{'x': -80.81331090624998, 'y': 35.268457515625}",408.5110964199429
3225,"{'x': -80.81331190624998, 'y': 35.2743940625}","{'x': -80.81861412499998, 'y': 35.2743940625}","{'x': -80.81331190624998, 'y': 35.268457515625}","{'x': -80.81861412499998, 'y': 35.268457515625}",408.4843518089339
