,topleft,topright,bottomleft,bottomright,radius
1070,"{'x': -80.81861512499998, 'y': 35.05472948437501}","{'x': -80.82391859374998, 'y': 35.05472948437501}","{'x': -80.81861512499998, 'y': 35.048793843750005}","{'x': -80.82391859374998, 'y': 35.048793843750005}",408.8610853795777
1071,"{'x': -80.82391959374998, 'y': 35.05472948437501}","{'x': -80.82922206249998, 'y': 35.05472948437501}","{'x': -80.82391959374998, 'y': 35.048793843750005}","{'x': -80.82922206249998, 'y': 35.048793843750005}",408.83421766009764
1072,"{'x': -80.80800768749998, 'y': 35.04879284375001}","{'x': -80.81331090624998, 'y': 35.04879284375001}","{'x': -80.80800768749998, 'y': 35.042856703125004}","{'x': -80.81331090624998, 'y': 35.042856703125004}",408.8871636008928
1073,"{'x': -80.81331190624998, 'y': 35.04879284375001}","{'x': -80.81861412499998, 'y': 35.04879284375001}","{'x': -80.81331190624998, 'y': 35.042856703125004}","{'x': -80.81861412499998, 'y': 35.042856703125004}",408.8602949573127
1074,"{'x': -80.80800768749998, 'y': 35.04285570312501}","{'x': -80.81331090624998, 'y': 35.04285570312501}","{'x': -80.80800768749998, 'y': 35.0369205625}","{'x': -80.81331090624998, 'y': 35.0369205625}",408.8526469942533
1075,"{'x': -80.81331190624998, 'y': 35.04285570312501}","{'x': -80.81861412499998, 'y': 35.04285570312501}","{'x': -80.81331190624998, 'y': 35.0369205625}","{'x': -80.81861412499998, 'y': 35.0369205625}",408.8257721761511
1076,"{'x': -80.79739924999998, 'y': 35.04879284375001}","{'x': -80.80270296874998, 'y': 35.04879284375001}","{'x': -80.79739924999998, 'y': 35.042856703125004}","{'x': -80.80270296874998, 'y': 35.042856703125004}",408.9005991609767
1077,"{'x': -80.80270396874998, 'y': 35.04879284375001}","{'x': -80.80800668749998, 'y': 35.04879284375001}","{'x': -80.80270396874998, 'y': 35.042856703125004}","{'x': -80.80800668749998, 'y': 35.042856703125004}",408.8737288668203
1078,"{'x': -80.79739924999998, 'y': 35.04285570312501}","{'x': -80.80270296874998, 'y': 35.04285570312501}","{'x': -80.79739924999998, 'y': 35.0369205625}","{'x': -80.80270296874998, 'y': 35.0369205625}",408.86608564167466
1079,"{'x': -80.80270396874998, 'y': 35.04285570312501}","{'x': -80.80800668749998, 'y': 35.04285570312501}","{'x': -80.80270396874998, 'y': 35.0369205625}","{'x': -80.80800668749998, 'y': 35.0369205625}",408.8392091728943
1080,"{'x': -80.80800768749998, 'y': 35.06066712500001}","{'x': -80.81331090624998, 'y': 35.06066712500001}","{'x': -80.80800768749998, 'y': 35.05473048437501}","{'x': -80.81331090624998, 'y': 35.05473048437501}",408.88888595454637
1081,"{'x': -80.81331190624998, 'y': 35.06066712500001}","{'x': -80.81861412499998, 'y': 35.06066712500001}","{'x': -80.81331190624998, 'y': 35.05473048437501}","{'x': -80.81861412499998, 'y': 35.05473048437501}",408.8620252366629
1082,"{'x': -80.80800768749998, 'y': 35.05472948437501}","{'x': -80.81331090624998, 'y': 35.05472948437501}","{'x': -80.80800768749998, 'y': 35.048793843750005}","{'x': -80.81331090624998, 'y': 35.048793843750005}",408.85436813967954
