Population,Per Capita Income,Median Household Income,Household Owner,zip code tabulation area
2349.0,20140.0,53558.0,1614.0,28454
1668.0,29785.0,39750.0,1444.0,28455
9854.0,24093.0,41222.0,7659.0,28457
10479.0,28933.0,59049.0,5754.0,28460
7033.0,30164.0,58560.0,5110.0,28465
9422.0,26056.0,51713.0,8768.0,28467
2276.0,15082.0,26934.0,1534.0,28464
272.0,34531.0,51406.0,163.0,28519
19287.0,30955.0,62524.0,15078.0,28461
12310.0,20540.0,40359.0,8902.0,28462
12045.0,22538.0,39170.0,8430.0,28470
9767.0,19131.0,35444.0,7109.0,28466
2371.0,30946.0,63947.0,1712.0,28523
22047.0,26238.0,49542.0,10490.0,28532
331.0,37159.0,107614.0,307.0,28553
3348.0,22880.0,-666666666.0,0.0,28533
1929.0,19861.0,37163.0,923.0,28538
